LastName,SelectedClusterId
Thomas,1
Jackson,1
Mitchell,3
Peterson,3
Wood,3
Price,1
Foster,3
Sanders,1
Butler,1
Fisher,1
Smith,3
Rodriguez,3
Martin,1
Campbell,3
Bell,3
Cox,3
Lee,3
Nelson,3
Rogers,2
Richardson,3
Brooks,1
Long,3
Harris,3
Clark,1
Sanchez,3
Wright,3
Turner,3
Cooper,3
Ward,3
Reed,3
Powell,3
Miller,3
Young,3
Scott,3
Kelly,3
Morales,2
Gutierrez,2
Brown,2
Taylor,2
Lewis,2
Robinson,2
King,2
Green,3
Baker,3
Carter,2
Murphy,3
Rivera,2
Bailey,2
Diaz,2
Watson,2
James,2
Hughes,2
Jones,2
Wilson,2
Hill,2
Torres,2
Edwards,2
Stewart,2
Morgan,2
Bennett,2
Sullivan,2
Ortiz,2
Perry,2
Thompson,2
Lopez,1
Gonzalez,3
Allen,3
Ramirez,3
Reyes,3
Barnes,3
Hall,1
Parker,1
Collins,1
Gomez,1
Howard,1
Davis,3
Martinez,3
Gray,3
Garcia,3
White,3
Johnson,3
Moore,3
Phillips,3
Flores,3
Morris,3
Williams,3
Walker,2
Perez,2
Adams,2
Myers,2
Ross,3
Nguyen,3
Evans,3
Anderson,3
Cook,3
Jenkins,3
Russell,3
Hernandez,2
Cruz,2
Roberts,3
